ID	SCORE
0000c12aa3a4817ee2464cc89e42	2.722
0000e9e5feb12a3dab32a15cd151	-1.421
0006b6a1a44f4ea092926c85a08e	-0.407
00079611767f022c429e6690d6ca	0.96
000ab55a2fbea4ffe745635abdd7	-0.568
000ca07423259b0fedd17c5f3123	1.91
000e0edededa6b397c5e00db98ff	0.278
000e2194998f18c2f65207cabdb7	-0.397
000f4306a31e97635bd552e36682	0.92
001ad50230b278723fc87f565495	0.233
002be92e07a2eca4a65cd962763c	0.055
002dc007533b07ad635e68de6c71	-0.167
003b7017150912e50289f1826a3a	0.353
003cfdf4063ecb580cefea0e6018	-2.047
003e613976e30ba9f4b86064c968	-0.844
004a7165775636f333f4570d933f	0.575
004dce27622ad9f433978449a022	-1.549
004e8d68ed4379eba909205e7bee	0.339
004f08c7b5209484c2214f3bb52a	1.045
004f96e8eaa8bc2d68c92e6e2ff3	0.966
005b8bda690d252f0887ca51833b	0.315
005d1d43add565a5010b067453e3	0.427
005f023b80dc28a26d4ae8416de8	-0.437
006a8f4a38eef998137b2a9e46f4	0.607
006e85252d9dad7cf70ccb3f60d6	0.022
007ad1738f1731def9cc32a01712	1.115
007ada5bedd69a64692799ab51c9	-0.609
007c3374bfb67819444d02b76185	-0.559
007cf90cfb82f8a24927420dfbb9	0.611
007ee6684e295bcabdce44552ed2	0.261
007f45c5edaddfca0dad8a24af7c	-2.479
007ff4c73a2aa4f62ccfb8f14652	1.135
008b659ad4d1866c67b6ec79963c	1.01
008bae1d4c787e4ec736a3b34d8d	-1.079
008c805cd3905b1ce73f58be70d3	0.782
008cc135a3db0bec36d9f6575aac	-1.654
008e35fd5c28e211a3c3f9f76755	-1.725
009bd95a7ab3cbf6778d31c3597f	-1.667
0014d6539029986fc7ad5fc685a6	-0.355
0023bccc775e9a4e2e2cf117a426	-0.303
0026ecb79696a09d7cc8fbb95db2	0.415
0028ed3f80c2e84da8226525fb8e	-0.528
0030c68a4e3f880fea2ad5047a46	-1.915
0033ce59bf064315641f4f62863e	-0.728
0033de1efe4d8bc6a41a16b6deb5	-0.371
0038a6e70f91c8c0c466a93f5855	0.14
0043ea5fafeaa7d9494095816584	-1.135
0044c804393d589443818d0c4eca	-0.623
0044f8673ea931c25215d58e8f41	-1.996
0054e09a2f04be98c745434ae8f4	-0.796
0056c4e4102f915898dfcb9d8346	-0.534
0063b5df2cd16d396a8660d29e7b	1.178
0064b4534393dd70967d515cf20e	0.191
0067e1c55b299255f55623585f45	0.27
0073d1b4560b52539438c482044d	-0.874
0078dbd4ecff54bc9654633a9233	-0.25
0078ec6d052a337f6b5746af57ef	-0.168
0082d1599b614be55cd6ebca7d1f	-0.145
0087fc783cb0a21822619f04d181	-1.335
0088f5955a618c9d3f3020023f06	-0.246
0091b3c26c74400bef35225a20fd	0.923
0091b9ba9ecd26b3e67a03ee7b9a	-1.347
0095b9e3c30e489ca25abe91b09b	-2.051
0095fd3dfe7763988d6781d9b6f4	-3.188
0099b3e825cda97c415b33eb4f6b	-1.018
